Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,63,0.0,00:00,0,103,,0.00,12.8,0,
,00:00:01,64,4.9,12:12,0,103,,0.00,12.8,124,
,00:00:02,67,7.1,08:31,0,103,,1.00,12.8,178,
,00:00:03,68,8.0,07:33,0,103,,3.50,12.8,202,
,00:00:04,72,8.0,07:33,41,103,,6.50,12.8,200,
,00:00:05,72,8.0,07:33,62,103,,9.90,12.8,200,
,00:00:06,76,8.2,07:21,78,103,,13.80,12.8,204,
,00:00:07,78,9.0,06:40,80,103,,18.40,12.8,222,
,00:00:08,80,9.9,06:03,81,103,,23.30,12.8,244,
,00:00:09,85,10.7,05:36,82,103,,28.40,12.9,264,
,00:00:10,85,11.2,05:22,82,103,,33.50,12.8,274,
,00:00:11,89,11.3,05:19,82,103,,37.20,12.9,276,
,00:00:12,91,11.3,05:18,83,103,,40.80,12.9,276,
,00:00:13,94,11.3,05:18,84,103,,44.60,12.9,278,
,00:00:14,96,11.4,05:15,84,103,,48.10,12.9,282,
,00:00:15,98,11.5,05:12,84,103,,51.40,12.9,284,
,00:00:16,101,11.6,05:11,83,103,,54.60,12.9,282,
,00:00:17,103,11.7,05:09,83,103,,58.00,12.8,282,
,00:00:18,104,11.8,05:06,83,103,,61.30,12.8,284,
,00:00:19,106,11.9,05:04,83,103,,64.60,12.8,284,
,00:00:20,106,12.0,05:00,84,103,,68.40,12.8,288,
,00:00:21,107,12.1,04:57,84,103,,72.20,12.8,292,
,00:00:22,109,12.2,04:54,83,103,,76.00,12.8,294,
,00:00:23,109,12.3,04:52,84,103,,80.30,12.8,294,
,00:00:24,109,12.4,04:50,83,103,,84.20,12.8,296,
,00:00:25,110,12.5,04:48,83,103,,88.00,12.8,298,
,00:00:26,110,12.7,04:43,83,103,,91.90,12.8,306,
,00:00:27,112,13.0,04:38,83,103,,96.40,12.8,310,
,00:00:28,112,13.2,04:33,83,103,,100.40,12.8,318,
,00:00:29,114,13.4,04:28,83,103,,104.60,12.8,326,
,00:00:30,114,13.6,04:25,83,103,,108.80,12.8,332,
,00:00:31,115,13.7,04:23,83,103,,112.90,12.8,336,
,00:00:32,115,13.8,04:22,83,103,,116.90,12.8,338,
,00:00:33,116,13.8,04:21,83,103,,120.90,12.8,344,
,00:00:34,116,13.8,04:21,83,103,,124.90,12.8,346,
